test_1,test_2,result,start,stop,time_index,battery_voltage,field,measurement,host,name,slave_id,type
,,1,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T06:02:00Z,701.6999999999999,battery voltage,modbus,freqcon,MB198_DC01_01,2,holding_register
,,1,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T06:04:00Z,701.6999999999999,battery voltage,modbus,freqcon,MB198_DC01_01,2,holding_register
,,1,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T06:06:00Z,701.6999999999999,battery voltage,modbus,freqcon,MB198_DC01_01,2,holding_register
,,1,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T06:08:00Z,701.6999999999999,battery voltage,modbus,freqcon,MB198_DC01_01,2,holding_register
,,1,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T06:10:00Z,701.6999999999999,battery voltage,modbus,freqcon,MB198_DC01_01,2,holding_register
,,1,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T06:12:00Z,701.6999999999999,battery voltage,modbus,freqcon,MB198_DC01_01,2,holding_register
,,1,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T06:14:00Z,701.6999999999999,battery voltage,modbus,freqcon,MB198_DC01_01,2,holding_register
,,1,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T06:16:00Z,701.6999999999999,battery voltage,modbus,freqcon,MB198_DC01_01,2,holding_register
,,1,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T06:18:00Z,702.4500000000002,battery voltage,modbus,freqcon,MB198_DC01_01,2,holding_register
,,1,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T06:20:00Z,704.7833333333334,battery voltage,modbus,freqcon,MB198_DC01_01,2,holding_register
,,1,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T06:22:00Z,708.7166666666667,battery voltage,modbus,freqcon,MB198_DC01_01,2,holding_register
,,1,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T06:24:00Z,714.1333333333333,battery voltage,modbus,freqcon,MB198_DC01_01,2,holding_register
,,1,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T06:26:00Z,718.5666666666667,battery voltage,modbus,freqcon,MB198_DC01_01,2,holding_register
,,1,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T06:28:00Z,718.2833333333334,battery voltage,modbus,freqcon,MB198_DC01_01,2,holding_register
,,1,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T06:30:00Z,678.4666666666666,battery voltage,modbus,freqcon,MB198_DC01_01,2,holding_register
,,1,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T06:32:00Z,672.1,battery voltage,modbus,freqcon,MB198_DC01_01,2,holding_register
,,1,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T06:34:00Z,672.1,battery voltage,modbus,freqcon,MB198_DC01_01,2,holding_register
,,1,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T06:36:00Z,672.1,battery voltage,modbus,freqcon,MB198_DC01_01,2,holding_register
,,1,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T06:38:00Z,672.1,battery voltage,modbus,freqcon,MB198_DC01_01,2,holding_register
,,1,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T06:40:00Z,672.1,battery voltage,modbus,freqcon,MB198_DC01_01,2,holding_register
,,1,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T06:42:00Z,672.1,battery voltage,modbus,freqcon,MB198_DC01_01,2,holding_register
,,1,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T06:44:00Z,672.1,battery voltage,modbus,freqcon,MB198_DC01_01,2,holding_register
,,1,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T06:46:00Z,672.1,battery voltage,modbus,freqcon,MB198_DC01_01,2,holding_register
,,1,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T06:48:00Z,672.1,battery voltage,modbus,freqcon,MB198_DC01_01,2,holding_register
,,1,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T06:50:00Z,672.0333333333333,battery voltage,modbus,freqcon,MB198_DC01_01,2,holding_register
,,1,2023-05-25T06:00:00Z,2023-05-25T18:00:00Z,2023-05-25T06:52:00Z,671.75,battery voltage,modbus,freqcon,MB198_DC01_01,2,holding_register
